station,radius_m,support_points_n,nearest_support_distance_m,farthest_included_support_distance_m
PO018068NRP001,20000,1156,76.46233359310676,19999.283988033632
PO0180690U0002,5000,76,898.5575610197119,4990.5531586358475
PO0180690U0002,10000,290,898.5575610197119,9995.098286454664
PO0180690U0002,20000,1046,898.5575610197119,19999.337165111203
PO018072NUP001,5000,81,540.2218874785734,4999.166674445275
PO018072NUP001,10000,287,540.2218874785734,9998.901443886318
PO018072NUP001,20000,988,540.2218874785734,19992.059653139433
PO0180810U0111,5000,52,178.227628662756,4936.125334130318
PO0180810U0111,10000,191,178.227628662756,9961.17713816138
PO0180810U0111,20000,679,178.227628662756,19947.199344493023
PO0180880U0001,5000,88,643.8633755436243,4985.525531615643
PO0180880U0001,10000,308,643.8633755436243,9945.307677410074
PO0180880U0001,20000,879,643.8633755436243,19992.944967560983
PO0181100U0111,5000,60,312.7600805869882,4935.271802359257
PO0181100U0111,10000,270,312.7600805869882,9989.288312271396
PO0181100U0111,20000,971,312.7600805869882,19993.596617946256
PO0181140U0002,5000,55,760.7053466961303,4914.41199709952
PO0181140U0002,10000,127,760.7053466961303,9983.766135335289
PO0181140U0002,20000,300,760.7053466961303,19978.99052640548
PO0181150U0006,5000,1,4281.208804758255,4281.208804758255
PO0181150U0006,10000,28,4281.208804758255,9817.16820449993
PO0181150U0006,20000,375,4281.208804758255,19989.54815248333
PO0181180U0019,5000,7,1899.2697214955692,4857.1838251182935
PO0181180U0019,10000,82,1899.2697214955692,9938.873748263926
PO0181180U0019,20000,420,1899.2697214955692,19989.10035260455
PO0181220U0001,5000,0,16697.50202388773,
PO0181220U0001,10000,0,16697.50202388773,
PO0181220U0001,20000,29,16697.50202388773,19959.48544909867
PO018146NRP001,5000,77,265.740725433656,4997.794295407202
PO018146NRP001,10000,297,265.740725433656,9987.190381030265
PO018146NRP001,20000,930,265.740725433656,19985.00168821845
PO018147NUP001,5000,78,516.013203818261,4955.9643951172975
PO018147NUP001,10000,288,516.013203818261,9999.307752832321
PO018147NUP001,20000,843,516.013203818261,19951.353424353947
PO0181550U0001,5000,0,11846.143274684866,
PO0181550U0001,10000,0,11846.143274684866,
PO0181550U0001,20000,143,11846.143274684866,19999.382361891425
PO018162NUP001,5000,26,78.22156432791346,4939.890178876915
PO018162NUP001,10000,171,78.22156432791346,9986.214449911038
PO018162NUP001,20000,745,78.22156432791346,19982.244356048766
PO018173NUP001,5000,81,305.52326956959337,4967.05408630886
PO018173NUP001,10000,280,305.52326956959337,9980.68738514624
PO018173NUP001,20000,1052,305.52326956959337,19999.795289042093
PO018176NUP001,5000,81,553.086540038719,4977.632239193792
PO018176NUP001,10000,324,553.086540038719,9991.43314692759
PO018176NUP001,20000,827,553.086540038719,19997.747796574382
PO0181770U0020,5000,48,1792.2700672675708,4964.5309375699835
PO0181770U0020,10000,243,1792.2700672675708,9997.538774252149
PO0181770U0020,20000,1089,1792.2700672675708,19997.445416866645
PO018180NUP001,5000,81,565.7227596687777,4996.608013559425
PO018180NUP001,10000,247,565.7227596687777,9927.495966497201
PO018180NUP001,20000,610,565.7227596687777,19978.731825696206
