scene_id,checkpoint_path,checkpoint_read_ok,checkpoint_read_error,year,acquisition_date,orbit_state,relative_orbit,platform,rows_n,zero_support_checkpoint,scene_id_values_n,scene_id_matches_filename,support_ids_n,duplicate_support_rows_n,vv_raster_inside_n,vv_calibration_fail_n,vv_noise_fail_n,vv_nonpositive_n,vv_valid_corrected_sigma0_n,vh_raster_inside_n,vh_calibration_fail_n,vh_noise_fail_n,vh_nonpositive_n,vh_valid_corrected_sigma0_n
S1B_IW_GRDH_1SDV_20200606T171405_20200606T171430_021916_02997C_11A1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200606T171405_20200606T171430_021916_02997C_11A1_COG.csv.gz,True,,2020,2020-06-06,ascending,15,sentinel-1b,1298,False,1,True,1298,0,1298,0,0,0,1298,1298,0,0,59,1239
S1B_IW_GRDH_1SDV_20200606T171405_20200606T171430_021916_02997C_BEF1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200606T171405_20200606T171430_021916_02997C_BEF1_COG.csv.gz,True,,2020,2020-06-06,ascending,15,sentinel-1b,1298,False,1,True,1298,0,1298,0,0,0,1298,1298,0,0,59,1239
S1B_IW_GRDH_1SDV_20200606T171430_20200606T171455_021916_02997C_8BAF_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200606T171430_20200606T171455_021916_02997C_8BAF_COG.csv.gz,True,,2020,2020-06-06,ascending,15,sentinel-1b,3033,False,1,True,3033,0,3033,0,0,3,3030,3033,0,0,234,2799
S1B_IW_GRDH_1SDV_20200606T171430_20200606T171455_021916_02997C_9B3D_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200606T171430_20200606T171455_021916_02997C_9B3D_COG.csv.gz,True,,2020,2020-06-06,ascending,15,sentinel-1b,3033,False,1,True,3033,0,3033,0,0,3,3030,3033,0,0,234,2799
S1B_IW_GRDH_1SDV_20200610T053445_20200610T053510_021967_029B0E_BC93_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200610T053445_20200610T053510_021967_029B0E_BC93_COG.csv.gz,True,,2020,2020-06-10,descending,66,sentinel-1b,3414,False,1,True,3414,0,3414,0,0,0,3414,3414,0,0,179,3235
S1B_IW_GRDH_1SDV_20200610T053453_20200610T053518_021967_029B0E_BD0A_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200610T053453_20200610T053518_021967_029B0E_BD0A_COG.csv.gz,True,,2020,2020-06-10,descending,66,sentinel-1b,4331,False,1,True,4331,0,4331,0,0,2,4329,4331,0,0,201,4130
S1B_IW_GRDH_1SDV_20200610T053510_20200610T053535_021967_029B0E_E1FE_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1B_IW_GRDH_1SDV_20200610T053510_20200610T053535_021967_029B0E_E1FE_COG.csv.gz,True,,2020,2020-06-10,descending,66,sentinel-1b,917,False,1,True,917,0,917,0,0,2,915,917,0,0,40,877
S1A_IW_GRDH_1SDV_20200611T052708_20200611T052733_032965_03D183_3D6A_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200611T052708_20200611T052733_032965_03D183_3D6A_COG.csv.gz,True,,2020,2020-06-11,descending,168,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20200611T052714_20200611T052739_032965_03D183_2835_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200611T052714_20200611T052739_032965_03D183_2835_COG.csv.gz,True,,2020,2020-06-11,descending,168,sentinel-1a,621,False,1,True,621,0,621,0,0,147,474,621,0,0,151,470
S1A_IW_GRDH_1SDV_20200611T052733_20200611T052758_032965_03D183_2C16_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200611T052733_20200611T052758_032965_03D183_2C16_COG.csv.gz,True,,2020,2020-06-11,descending,168,sentinel-1a,2414,False,1,True,2414,0,2414,0,0,298,2116,2414,0,0,329,2085
S1A_IW_GRDH_1SDV_20200611T052739_20200611T052804_032965_03D183_7B00_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200611T052739_20200611T052804_032965_03D183_7B00_COG.csv.gz,True,,2020,2020-06-11,descending,168,sentinel-1a,1991,False,1,True,1991,0,1991,0,0,360,1631,1991,0,0,377,1614
S1A_IW_GRDH_1SDV_20200612T171459_20200612T171524_032987_03D225_97C7_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200612T171459_20200612T171524_032987_03D225_97C7_COG.csv.gz,True,,2020,2020-06-12,ascending,15,sentinel-1a,4331,False,1,True,4331,0,4331,0,0,3,4328,4331,0,0,228,4103
S1A_IW_GRDH_1SDV_20200612T171459_20200612T171524_032987_03D225_AA71_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200612T171459_20200612T171524_032987_03D225_AA71_COG.csv.gz,True,,2020,2020-06-12,ascending,15,sentinel-1a,4331,False,1,True,4331,0,4331,0,0,3,4328,4331,0,0,228,4103
S1A_IW_GRDH_1SDV_20200616T053526_20200616T053551_033038_03D3B4_1090_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200616T053526_20200616T053551_033038_03D3B4_1090_COG.csv.gz,True,,2020,2020-06-16,descending,66,sentinel-1a,3177,False,1,True,3177,0,3177,0,0,2,3175,3177,0,0,99,3078
S1A_IW_GRDH_1SDV_20200616T053527_20200616T053552_033038_03D3B4_9201_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200616T053527_20200616T053552_033038_03D3B4_9201_COG.csv.gz,True,,2020,2020-06-16,descending,66,sentinel-1a,3329,False,1,True,3329,0,3329,0,0,1,3328,3329,0,0,100,3229
S1A_IW_GRDH_1SDV_20200616T053551_20200616T053616_033038_03D3B4_D456_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200616T053551_20200616T053616_033038_03D3B4_D456_COG.csv.gz,True,,2020,2020-06-16,descending,66,sentinel-1a,1154,False,1,True,1154,0,1154,0,0,1,1153,1154,0,0,55,1099
S1A_IW_GRDH_1SDV_20200616T053552_20200616T053617_033038_03D3B4_84EA_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200616T053552_20200616T053617_033038_03D3B4_84EA_COG.csv.gz,True,,2020,2020-06-16,descending,66,sentinel-1a,1002,False,1,True,1002,0,1002,0,0,1,1001,1002,0,0,48,954
S1A_IW_GRDH_1SDV_20200617T172306_20200617T172331_033060_03D465_6F64_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200617T172306_20200617T172331_033060_03D465_6F64_COG.csv.gz,True,,2020,2020-06-17,ascending,88,sentinel-1a,3796,False,1,True,3796,0,3796,0,0,142,3654,3796,0,0,195,3601
S1A_IW_GRDH_1SDV_20200617T172306_20200617T172331_033060_03D465_BD2F_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200617T172306_20200617T172331_033060_03D465_BD2F_COG.csv.gz,True,,2020,2020-06-17,ascending,88,sentinel-1a,3796,False,1,True,3796,0,3796,0,0,142,3654,3796,0,0,197,3599
S1A_IW_GRDH_1SDV_20200617T172331_20200617T172356_033060_03D465_16C1_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200617T172331_20200617T172356_033060_03D465_16C1_COG.csv.gz,True,,2020,2020-06-17,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
S1A_IW_GRDH_1SDV_20200617T172331_20200617T172356_033060_03D465_3DD7_COG,outputs\diagnostics\design_c\c2v\scene_checkpoints\primary\S1A_IW_GRDH_1SDV_20200617T172331_20200617T172356_033060_03D465_3DD7_COG.csv.gz,True,,2020,2020-06-17,ascending,88,sentinel-1a,0,True,0,True,0,0,0,0,0,0,0,0,0,0,0,0
